url,crawl_status,status_code,content_type,h1,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
https://ebooksworldbd.blogspot.com/2014/09/imdadul-hak-milon-humayun-azad-muntasir.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Imdadul Hak Milon - Humayun Azad Collection,,http://ebooksworldbd.blogspot.com/2014/09/imdadul-hak-milon-humayun-azad-muntasir.html,allowed,,,
https://ebooksworldbd.blogspot.com/2015/12/download-free-ebooks-of-humayun-ahmed.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Download Free eBooks Of Humayun Ahmed,,http://ebooksworldbd.blogspot.com/2015/12/download-free-ebooks-of-humayun-ahmed.html,allowed,,,
https://ebooksworldbd.blogspot.com/feeds/758211781854250026/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
https://ebooksworldbd.blogspot.com/feeds/3883143066959848903/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
https://ebooksworldbd.blogspot.com/feeds/2062646836358724683/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
https://ebooksworldbd.blogspot.com/2014/05/books-on-liberation-war-and-language.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Books On Liberation War and Language Movement,,http://ebooksworldbd.blogspot.com/2014/05/books-on-liberation-war-and-language.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/masud-rana-series-free-ebooks-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Masud Rana Series Free eBooks Download,,http://ebooksworldbd.blogspot.com/2016/01/masud-rana-series-free-ebooks-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/muhammed-zafar-iqbal-pdf-books-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Muhammed Zafar Iqbal PDF Books Download,,http://ebooksworldbd.blogspot.com/2016/01/muhammed-zafar-iqbal-pdf-books-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/qazi-mahbub-hussain-free-ebooks-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Qazi Mahbub Hussain Free eBooks Download,,http://ebooksworldbd.blogspot.com/2016/01/qazi-mahbub-hussain-free-ebooks-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/masud-rana-series-free-ebooks.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Masud Rana Series Free eBooks Collection 01-50,,http://ebooksworldbd.blogspot.com/2016/01/masud-rana-series-free-ebooks.html,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/anish-das-opu-horror-books-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Anish Das Opu Horror Books Download,,http://ebooksworldbd.blogspot.com/2016/01/anish-das-opu-horror-books-download.html,allowed,,,
http://ebooksworldbd.blogspot.com/feeds/3883143066959848903/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
http://ebooksworldbd.blogspot.com/feeds/1135104522548610591/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
https://ebooksworldbd.blogspot.com/2016/01/the-godfather-series-ebooks-free-download.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: The Godfather Series eBooks Free Download,,http://ebooksworldbd.blogspot.com/2016/01/the-godfather-series-ebooks-free-download.html,allowed,,,
https://ebooksworldbd.blogspot.com/2014/06/robindronath-tagor-kazi-nujrul-islam.html,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: Robindranath Tagore - Kazi Nujrul Islam Bangla Book,,http://ebooksworldbd.blogspot.com/2014/06/robindronath-tagor-kazi-nujrul-islam.html,allowed,,,
http://ebooksworldbd.blogspot.com/feeds/6639174238498079459/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
